Sku,Nome
1756447,"CONE SINCRONIZADO"
1757127,"Código não encontrado"
1757624,"Código não encontrado"
1761372,AMORTECEDOR
1762704,"Código não encontrado"
1763155,PLATO
1763631,PORCA
1766023,"Código não encontrado"
1768402,"FILTRO DE OLEO"
1770208,"Código não encontrado"
1772730,"FILTRO SECADOR"
1774872,"Código não encontrado"
1775008,REPARO
1775964,"ANEL DE VEDACAO COLETOR DE ESCAPE"
1776552,"Código não encontrado"
1777165,SENSOR
1778532,SUPORTE
1778920,"Código não encontrado"
1780246,"LAMINA DO LIMPADOR"
1783288,"Código não encontrado"
1783324,ROLAMENTO
1784975,"Código não encontrado"
1786424,CRUZETA
1786639,RETENTOR
1787120,"BOMBA DA AGUA"
1788767,"Código não encontrado"
1789563,"CATRACA DE FREIO"
1790617,"Código não encontrado"
1790995,"Código não encontrado"
1791182,COXIM
1794907,"BOMBA BASCULA CABINE"
1796026,"Código não encontrado"
1796663,"Código não encontrado"
1796994,"Código não encontrado"
1798490,BICO
1799371,JUNTA
1800533,CORREIA
1802569,"Código não encontrado"
1804187,"CJ GLOBO C/ ENGRENAGEM"
1806251,"Código não encontrado"
1806857,"Código não encontrado"
1807200,"Código não encontrado"
1807850,"Código não encontrado"
1821737,"CILINDRO FREIO MOTOR"
1827208,"Código não encontrado"
1847739,"Código não encontrado"
1849060,TERMOSTATO
1851334,"Código não encontrado"
1851542,"Código não encontrado"
1853232,"Código não encontrado"
1854058,MANGUEIRA
1854255,"Código não encontrado"
1854876,"Código não encontrado"
1856309,"Código não encontrado"
1856603,"Código não encontrado"
1856660,"BOBINA DE CONTATO"
1857665,"TAMPA FILTRO"
1858287,"Código não encontrado"
1862308,"Código não encontrado"
1865747,"CATRACA DE FREIO"
1865748,"CATRACA DE FREIO"
1867553,"Código não encontrado"
1867554,"Código não encontrado"
1868016,"Código não encontrado"
1868454,"Código não encontrado"
1868668,"PARAFUSO RODA TRAZ"
1873018,FILTRO
1874363,TAMPA
1876630,MANGOTE
1876631,MANGUEIRA
1879102,"Código não encontrado"
1879104,"Código não encontrado"
1884225,"BOMBA ADBLUE"
1887739,"Código não encontrado"
1888065,JUNTA
1888468,CORREIA
1893055,"Código não encontrado"
1893214,"Código não encontrado"
1894323,"Código não encontrado"
1894408,BUCHA
1894478,"Código não encontrado"
1899016,MANGUEIRA
1900052,"KIT DE VEDACAO"
1901729,"Código não encontrado"
1906975,MANGUEIRA
1907422,FILTRO
1907750,"Código não encontrado"
1911814,"ROLAMENTO DE ROLOS CONICOS"
1912526,CURVA
1912757,BARRA
1913500,"FILTRO DE AR DA CABINA"
1913503,FILTRO
1913503,FILTRO
1919552,"Código não encontrado"
1920079,"Código não encontrado"
1920080,BUCHA
1920231,"Código não encontrado"
1921010,"Código não encontrado"
1921913,"KIT DE REPARO "
1921972,ISOLADOR
1923654,"Código não encontrado"
1925166,"Código não encontrado"
1925293,"Código não encontrado"
1925340,"TRAVA DA GRADE FRONTAL LD"
1925341,"TRAVA DA GRADE FRONTAL LH"
1925549,ANEL
1925743,"Código não encontrado"
1926077,CABO
1926822,"Código não encontrado"
1926827,LUVA
1930699,"CAIXA DE DIRECAO"
1936674,"Código não encontrado"
1938103,"Código não encontrado"
1939987,"Código não encontrado"
1940848,"Código não encontrado"
1942828,"Código não encontrado"
1943972,"Código não encontrado"
1952578,"JG.DE LONA"
1952810,"Código não encontrado"
1953094,"FILTRO AR"
1958776,"Código não encontrado"
1958784,"OLEO DE TRANSMISSÃO "
1960501,"PACOTE REPARO CANECA"
1960638,REPARO
1960705,"Código não encontrado"
1960709,"Código não encontrado"
1961372,"Código não encontrado"
2001228,ARRUELA
2001716,"Código não encontrado"
2002705,"Código não encontrado"
2005369,"Código não encontrado"
2005370,"Código não encontrado"
2009820,CATRACA
2013515,"Código não encontrado"
2016583,"Código não encontrado"
2016623,"Código não encontrado"
2022275,FILTRO
2025757,"Código não encontrado"
2028645,"Código não encontrado"
2030941,"Código não encontrado"
2030943,"Código não encontrado"
2031868,MOLA
2031872,"AMORTECEDOR PAINEL GRADE"
2033890,"Código não encontrado"
2034621,"Código não encontrado"
2035612,"Código não encontrado"
2043067,"CAMISA DE CILINDRO"
2049386,"Código não encontrado"
2052731,"Código não encontrado"
2059778,"FILTRO DE OLEO"
2064010,"Código não encontrado"
2066523,"Código não encontrado"
2067064,"Código não encontrado"
2074525,"Código não encontrado"
2075484,"Código não encontrado"
2075622,"Código não encontrado"
2077789,"Código não encontrado"
2077975,VALVULA
2081360,"Código não encontrado"
2081828,UNIAO
2082090,"Código não encontrado"
2083830,"Código não encontrado"
2085863,"DISCO DE EMBREAGEM"
2086028,"ANEL DE ACO"
2089579,"Código não encontrado"
2090529,CILINDRO
2096562,"Código não encontrado"
2108947,"Código não encontrado"
2118518,"PARA-LAMA "
2130330,"Código não encontrado"
2145694,"Código não encontrado"
2153365,FILTRO
2164195,MANCAL
2172540,"Código não encontrado"
2175257,"Código não encontrado"
2181274,"Código não encontrado"
2188199,"Código não encontrado"
2200137,"Código não encontrado"
2200142,"Código não encontrado"
2200142,"Código não encontrado"
2224112,"BOMBA D´AGUA"
2247379,"SENSOR DE NOX"
2252095,"Código não encontrado"
2276408,"Código não encontrado"
2277492,"Código não encontrado"
2292449,"Código não encontrado"
2296799,"Código não encontrado"
2303349,"Código não encontrado"
2307617,"Código não encontrado"
2307617,"Código não encontrado"
2308200,"Código não encontrado"
2326594,"Código não encontrado"
2398774,"Código não encontrado"
2555088,"Código não encontrado"
15231109,"Código não encontrado"
19017292,"Código não encontrado"
20300150,"Código não encontrado"
40169300,"Código não encontrado"
1302731U,"Código não encontrado"
1323145U,"Código não encontrado"
1324Z,"Código não encontrado"
1391686U,"Código não encontrado"
73182200,"Código não encontrado"
84099969,"Código não encontrado"
84139190,"Código não encontrado"
85119000,"Código não encontrado"
3860009334,"Código não encontrado"
4346121000,"Código não encontrado"
1407071U,"Código não encontrado"
1408143U,"Código não encontrado"
1408184U,"Código não encontrado"
1408202U,"Código não encontrado"
1408215U,"Código não encontrado"
140845U,"Código não encontrado"
1408485U,"Código não encontrado"
1446924U,"Código não encontrado"
1476232U,"Código não encontrado"
1476234U,"Código não encontrado"
1476287U,"Código não encontrado"
1490549U,"Código não encontrado"
1491380U,"Código não encontrado"
1493769U,"Código não encontrado"
1493770U,"Código não encontrado"
1493771U,"Código não encontrado"
1493960U,"Código não encontrado"
1495267U,"Código não encontrado"
1495269U,"Código não encontrado"
