41401860;HA8337
41401861;HA8348
41401863;HA8372
41401865;HA9207
41401870;HC8346
41401874;HC8447
41401876;HC9325
41402001;130710
41402031;81128900
41402040;87223565
41402043;87438699
41402082;JE9301
41402088;399607A1
41402109;00136031
41402110;00141225
41402115;00605795
41402117;00605797
41402120;00605804
41402121;00605998
41402126;00606013
41402146;118330
41402204;30397100
41402207;31557300
41402216;34054100
41402255;5119147NH
41402283;80693600
41402285;80847800
41402293;82315000
41402294;82551410
41402300;87255391
41402436;M15LCFX
41402500;JB1108
41402501;JB1110
41402505;JB1208
41402507;JB1230
41402510;JB3716
41402519;JC3522
41402528;LB3009
41402529;LB3010
41402530;LB3014
41402531;LB3013SK
41402535;NA112000
41402539;NA116000
41402544;NC110000
41402545;NC116000
41402546;NC120000
41402547;NC124000
41402554;NA108000
41402570;80854000
41402591;00408313
41402594;82029900
41402607;115720
41402631;80336100
41402633;80390800
41402634;80875100
41402738;80908900
41402835;FC106025
41402841;NC120000
41402845;30146000
41402846;HD9052
41402847;HN6812
41402855;GB8001
41402910;245780
41402911;247430
41402919;KG3040
41402944;82312610
41402945;82312510
41402946;82317400
41403053;JE3020
41403085;81882000
41403196;HC9326
41403219;JE9077
41403220;KG6010
41403235;00408872
41403236;JE8092
41403241;00407847
41403378;33548300
41403395;34060400
41403400;82775700
41403401;34057900
41403403;34058000
41403493;45359200
41403497;80338200
41403498;651320
41403515;869830
41403522;438396A1
41403567;00601535
41403568;3261044
41403993;HS9141
41403998;615210
41404152;86998471
41404268;81814700
41404274;81244500
41404276;JB3708
41404277;216450
41404369;5S0709
41404390;KG1201
41404567;H167681
41404980;3200104
41405004;31796200
41405006;81325800
41405106;869850
41405107;869840
41405108;869820
41405109;80801400
41405110;HA4369
41405113;80847710
41405114;HC8456
41405123;353308
41405126;HC9336
41405147;HN6646
41405148;JB8904
41405149;81473600
41405165;GP3927
41405166;HA6322
41405167;HA6333
41405169;449780
41405209;1000200
41405210;6000101
41405226;JB0980
41405248;85477200
41405249;99434055
41405250;17044625
41405251;99481827
41405252;16978124
41405253;115549
41405254;42556819
41405255;17869380
41405256;17037821
41405257;17315390
41405258;504065285
41405259;16586225
41405260;18138424
41405261;244358
41405262;254026A1
41405263;43234
41405264;4895462
41405265;4896884
41405266;4896996
41405267;4897277
41405268;4899103
41405269;4899124
41405270;504356309
41405271;17315192
41405272;86625263
41405273;86639005
41405274;4895817
41405294;84259941
41405333;HA8328
41405353;KG9133
41405354;JE9069
41405355;HA6313
41405356;HA6426
41405357;HD9030
41405375;81470300
41405405;961003530014
41405408;JE3134
41405409;HA6324
41405502;627640
41405568;34053800
41405609;JD9104
41405655;JE2085
41405656;247230
41405657;HA8371
41405659;83723800
41405662;JE3130
41405676;HC9605
41500010;00140217
41500011;00140224
41500014;00140425
41500015;00140427
41500016;00140493
41500018;00140519
41500019;00140825
41500021;00141399
41500022;00141584
41500023;00144060
41500027;00144081
41500086;137248A1
41500218;223620
41500247;265150
41500270;3027681
41500347;3896996
41500410;593200
41500640;80834900
41500643;80905800
41500644;80907600
41500650;814730
41500655;81781200
41500726;LA11071
41500727;LA11074
41500729;LA1979
41500730;LA1982
41500731;LA1986
41500732;LA2015
41500735;LA3974
41500737;LA3976
41500738;LA5013
41500740;LA5109
41500741;LA5113
41500742;LA5955
41500744;LA9008
41500745;LA9019
